date,employee_id,employee_name,role,department,sales_count,sales_value,customer_satisfaction,attendance,productivity_score
2024-10-04,3,Mia Wilson,Marketing Coordinator,Marketing,1,1000,4.7,1.0,77.9
2024-10-04,19,James Miller,Marketing Specialist,Marketing,2,1586,3.7,1.0,92.4
2024-10-04,17,Isabella White,Administrative Assistant,Administration,5,1815,3.5,1.0,81.8
2024-10-04,1,John Williams,Sales Representative,Sales,5,2805,3.9,1.0,76.7
2024-10-04,14,Ethan White,Warehouse Associate,Warehouse,4,1848,3.3,1.0,87.0
2024-10-04,7,Benjamin Garcia,Support Specialist,Customer Service,4,1980,3.9,1.0,70.7
2024-10-04,5,Benjamin Garcia,Sales Manager,Sales,13,12493,3.4,1.0,66.9
2024-10-04,11,Sophia Brown,Marketing Coordinator,Marketing,3,2691,4.3,1.0,80.5
2024-10-04,20,Emma Robinson,Warehouse Associate,Warehouse,1,651,3.9,1.0,63.0
2024-10-04,15,William Thompson,Office Manager,Administration,2,984,4.1,1.0,87.6
2024-10-05,12,John Davis,Office Manager,Administration,4,1096,3.6,1.0,68.2
2024-10-05,13,Olivia Moore,Customer Service Manager,Customer Service,1,399,3.8,1.0,60.1
2024-10-05,9,Charlotte White,Administrative Assistant,Administration,1,570,4.0,1.0,72.1
2024-10-05,18,Isabella Williams,Sales Associate,Sales,0,0,4.2,1.0,86.6
2024-10-05,4,Isabella Garcia,Shipping Coordinator,Warehouse,1,226,3.7,1.0,61.2
2024-10-05,10,Ethan Garcia,Administrative Assistant,Administration,3,2541,3.8,1.0,80.1
2024-10-05,2,Alexander Martin,Receptionist,Administration,0,0,3.4,1.0,94.9
2024-10-05,1,John Williams,Sales Representative,Sales,17,7242,4.7,1.0,74.7
2024-10-05,6,Evelyn Brown,Digital Marketer,Marketing,3,1629,3.4,1.0,86.7
2024-10-05,5,Benjamin Garcia,Sales Manager,Sales,4,3340,3.9,1.0,75.7
2024-10-05,8,Isabella Miller,Warehouse Manager,Warehouse,2,872,4.1,1.0,60.4
2024-10-06,11,Sophia Brown,Marketing Coordinator,Marketing,5,1010,3.8,1.0,79.3
2024-10-06,14,Ethan White,Warehouse Associate,Warehouse,1,911,3.1,1.0,85.4
2024-10-06,8,Isabella Miller,Warehouse Manager,Warehouse,4,1296,3.9,1.0,89.0
2024-10-06,20,Emma Robinson,Warehouse Associate,Warehouse,5,870,4.1,1.0,72.0
2024-10-06,15,William Thompson,Office Manager,Administration,5,1685,4.0,1.0,85.4
2024-10-06,2,Alexander Martin,Receptionist,Administration,1,585,3.8,1.0,87.0
2024-10-06,7,Benjamin Garcia,Support Specialist,Customer Service,4,616,3.3,1.0,72.8
2024-10-06,19,James Miller,Marketing Specialist,Marketing,5,4280,4.1,1.0,78.8
2024-10-06,6,Evelyn Brown,Digital Marketer,Marketing,2,1634,3.6,1.0,81.7
2024-10-06,13,Olivia Moore,Customer Service Manager,Customer Service,2,518,3.9,1.0,64.0
2024-10-07,20,Emma Robinson,Warehouse Associate,Warehouse,2,1260,4.1,1.0,87.6
2024-10-07,12,John Davis,Office Manager,Administration,5,3785,4.3,1.0,81.9
2024-10-07,10,Ethan Garcia,Administrative Assistant,Administration,5,1335,3.4,1.0,93.0
2024-10-07,17,Isabella White,Administrative Assistant,Administration,3,2856,3.5,1.0,91.5
2024-10-07,3,Mia Wilson,Marketing Coordinator,Marketing,1,654,3.6,1.0,75.2
2024-10-07,11,Sophia Brown,Marketing Coordinator,Marketing,2,1654,3.6,1.0,81.8
2024-10-07,13,Olivia Moore,Customer Service Manager,Customer Service,0,0,3.6,1.0,66.5
2024-10-07,15,William Thompson,Office Manager,Administration,1,548,4.1,1.0,83.4
2024-10-07,9,Charlotte White,Administrative Assistant,Administration,4,1996,4.5,1.0,62.3
2024-10-07,8,Isabella Miller,Warehouse Manager,Warehouse,4,3972,4.7,1.0,81.6
2024-10-07,1,John Williams,Sales Representative,Sales,9,4338,4.2,1.0,66.0
2024-10-07,7,Benjamin Garcia,Support Specialist,Customer Service,1,266,4.4,1.0,94.2
2024-10-07,18,Isabella Williams,Sales Associate,Sales,16,2672,3.1,1.0,90.3
2024-10-07,6,Evelyn Brown,Digital Marketer,Marketing,5,1685,4.7,1.0,82.5
2024-10-07,16,Emma Taylor,Customer Service Manager,Customer Service,3,2295,3.2,1.0,69.9
2024-10-07,19,James Miller,Marketing Specialist,Marketing,4,1656,4.4,1.0,67.0
2024-10-07,5,Benjamin Garcia,Sales Manager,Sales,5,745,3.1,1.0,95.9
2024-10-07,2,Alexander Martin,Receptionist,Administration,4,452,4.8,1.0,75.0
2024-10-08,14,Ethan White,Warehouse Associate,Warehouse,1,326,4.9,1.0,83.7
2024-10-08,16,Emma Taylor,Customer Service Manager,Customer Service,1,220,3.8,1.0,62.7
2024-10-08,13,Olivia Moore,Customer Service Manager,Customer Service,1,222,4.9,1.0,67.2
2024-10-08,12,John Davis,Office Manager,Administration,1,657,3.8,1.0,81.5
2024-10-08,7,Benjamin Garcia,Support Specialist,Customer Service,5,2845,3.6,1.0,72.4
2024-10-08,1,John Williams,Sales Representative,Sales,8,5248,3.9,1.0,82.2
2024-10-08,11,Sophia Brown,Marketing Coordinator,Marketing,3,2934,4.0,1.0,85.4
2024-10-08,10,Ethan Garcia,Administrative Assistant,Administration,2,1424,3.4,1.0,77.6
2024-10-08,18,Isabella Williams,Sales Associate,Sales,11,10802,3.2,1.0,99.1
2024-10-08,17,Isabella White,Administrative Assistant,Administration,2,404,3.9,1.0,85.0
2024-10-08,9,Charlotte White,Administrative Assistant,Administration,4,2688,4.7,1.0,67.4
2024-10-08,15,William Thompson,Office Manager,Administration,3,2574,3.8,1.0,92.8
2024-10-08,2,Alexander Martin,Receptionist,Administration,5,4685,3.5,1.0,91.3
2024-10-08,20,Emma Robinson,Warehouse Associate,Warehouse,3,2823,4.6,1.0,72.8
2024-10-09,7,Benjamin Garcia,Support Specialist,Customer Service,2,1656,4.8,1.0,79.1
2024-10-09,3,Mia Wilson,Marketing Coordinator,Marketing,3,1917,4.3,1.0,94.5
2024-10-09,11,Sophia Brown,Marketing Coordinator,Marketing,4,2124,3.1,1.0,72.7
2024-10-09,8,Isabella Miller,Warehouse Manager,Warehouse,1,260,4.9,1.0,98.2
2024-10-09,15,William Thompson,Office Manager,Administration,5,910,4.4,1.0,94.8
2024-10-09,4,Isabella Garcia,Shipping Coordinator,Warehouse,4,2436,4.8,1.0,70.0
2024-10-09,10,Ethan Garcia,Administrative Assistant,Administration,1,338,3.2,1.0,72.5
2024-10-09,18,Isabella Williams,Sales Associate,Sales,19,5263,4.5,1.0,76.8
2024-10-09,17,Isabella White,Administrative Assistant,Administration,4,676,3.2,1.0,76.8
2024-10-09,9,Charlotte White,Administrative Assistant,Administration,1,268,4.2,1.0,71.4
2024-10-09,1,John Williams,Sales Representative,Sales,8,5072,3.3,1.0,82.6
2024-10-09,2,Alexander Martin,Receptionist,Administration,3,2601,3.4,1.0,68.0
2024-10-09,13,Olivia Moore,Customer Service Manager,Customer Service,4,1868,4.0,1.0,80.2
2024-10-09,14,Ethan White,Warehouse Associate,Warehouse,3,1284,3.1,1.0,70.7
2024-10-09,6,Evelyn Brown,Digital Marketer,Marketing,4,3944,4.8,1.0,68.1
2024-10-09,19,James Miller,Marketing Specialist,Marketing,3,2967,4.1,1.0,94.3
2024-10-09,16,Emma Taylor,Customer Service Manager,Customer Service,5,2690,4.3,1.0,99.0
2024-10-09,20,Emma Robinson,Warehouse Associate,Warehouse,5,585,4.8,1.0,99.4
2024-10-09,12,John Davis,Office Manager,Administration,3,1110,3.9,1.0,80.4
2024-10-10,9,Charlotte White,Administrative Assistant,Administration,4,1112,4.8,1.0,79.0
2024-10-10,19,James Miller,Marketing Specialist,Marketing,0,0,4.1,1.0,72.1
2024-10-10,20,Emma Robinson,Warehouse Associate,Warehouse,3,2853,4.3,1.0,62.3
2024-10-10,12,John Davis,Office Manager,Administration,4,2764,3.8,1.0,99.7
2024-10-10,1,John Williams,Sales Representative,Sales,15,1695,3.9,1.0,64.3
2024-10-10,6,Evelyn Brown,Digital Marketer,Marketing,3,2346,4.9,1.0,83.0
2024-10-10,2,Alexander Martin,Receptionist,Administration,3,849,3.7,1.0,95.8
2024-10-10,4,Isabella Garcia,Shipping Coordinator,Warehouse,2,1476,3.4,1.0,79.3
2024-10-10,8,Isabella Miller,Warehouse Manager,Warehouse,3,786,4.2,1.0,76.7
2024-10-10,5,Benjamin Garcia,Sales Manager,Sales,3,2889,4.9,1.0,75.7
2024-10-10,7,Benjamin Garcia,Support Specialist,Customer Service,0,0,3.1,1.0,71.3
2024-10-10,11,Sophia Brown,Marketing Coordinator,Marketing,3,2238,4.5,1.0,73.5
2024-10-10,14,Ethan White,Warehouse Associate,Warehouse,3,2061,3.3,1.0,95.7
2024-10-10,17,Isabella White,Administrative Assistant,Administration,4,1580,4.1,1.0,72.8
2024-10-10,3,Mia Wilson,Marketing Coordinator,Marketing,5,4330,4.3,1.0,87.7
2024-10-10,18,Isabella Williams,Sales Associate,Sales,3,2874,3.1,1.0,92.5
2024-10-11,11,Sophia Brown,Marketing Coordinator,Marketing,0,0,4.2,1.0,98.3
2024-10-11,14,Ethan White,Warehouse Associate,Warehouse,2,1054,3.5,1.0,79.0
2024-10-11,16,Emma Taylor,Customer Service Manager,Customer Service,1,496,3.8,1.0,90.8
2024-10-11,2,Alexander Martin,Receptionist,Administration,4,2856,3.2,1.0,88.2
2024-10-11,4,Isabella Garcia,Shipping Coordinator,Warehouse,2,964,4.8,1.0,94.8
2024-10-11,9,Charlotte White,Administrative Assistant,Administration,4,644,4.1,1.0,76.3
2024-10-11,3,Mia Wilson,Marketing Coordinator,Marketing,5,880,3.2,1.0,92.1
2024-10-11,7,Benjamin Garcia,Support Specialist,Customer Service,5,1680,4.1,1.0,93.2
2024-10-11,13,Olivia Moore,Customer Service Manager,Customer Service,5,4290,3.6,1.0,81.3
2024-10-11,17,Isabella White,Administrative Assistant,Administration,1,537,4.1,1.0,61.0
2024-10-11,19,James Miller,Marketing Specialist,Marketing,2,756,3.7,1.0,61.1
2024-10-11,15,William Thompson,Office Manager,Administration,0,0,3.0,1.0,82.3
2024-10-11,6,Evelyn Brown,Digital Marketer,Marketing,4,1852,4.4,1.0,89.9
2024-10-11,12,John Davis,Office Manager,Administration,0,0,4.0,1.0,85.1
2024-10-12,13,Olivia Moore,Customer Service Manager,Customer Service,5,2045,4.2,1.0,94.1
2024-10-12,9,Charlotte White,Administrative Assistant,Administration,0,0,3.2,1.0,98.8
2024-10-12,18,Isabella Williams,Sales Associate,Sales,10,4010,4.5,1.0,62.5
2024-10-12,4,Isabella Garcia,Shipping Coordinator,Warehouse,2,1102,3.7,1.0,74.1
2024-10-12,19,James Miller,Marketing Specialist,Marketing,2,1434,4.9,1.0,60.0
2024-10-12,14,Ethan White,Warehouse Associate,Warehouse,0,0,4.0,1.0,69.0
2024-10-12,16,Emma Taylor,Customer Service Manager,Customer Service,2,1738,4.2,1.0,71.9
2024-10-12,2,Alexander Martin,Receptionist,Administration,3,2742,4.2,1.0,82.9
2024-10-12,1,John Williams,Sales Representative,Sales,18,3852,3.9,1.0,64.4
2024-10-12,8,Isabella Miller,Warehouse Manager,Warehouse,1,322,3.3,1.0,72.7
2024-10-12,11,Sophia Brown,Marketing Coordinator,Marketing,3,1068,3.1,1.0,96.1
2024-10-12,6,Evelyn Brown,Digital Marketer,Marketing,2,522,4.4,1.0,70.0
2024-10-12,10,Ethan Garcia,Administrative Assistant,Administration,3,1497,4.3,1.0,65.4
2024-10-13,8,Isabella Miller,Warehouse Manager,Warehouse,0,0,4.8,1.0,97.8
2024-10-13,20,Emma Robinson,Warehouse Associate,Warehouse,1,902,3.4,1.0,78.4
2024-10-13,18,Isabella Williams,Sales Associate,Sales,16,12304,4.8,1.0,91.2
2024-10-13,1,John Williams,Sales Representative,Sales,3,2766,4.3,1.0,63.8
2024-10-13,11,Sophia Brown,Marketing Coordinator,Marketing,3,1605,3.1,1.0,83.3
2024-10-13,13,Olivia Moore,Customer Service Manager,Customer Service,2,694,3.6,1.0,99.0
2024-10-13,14,Ethan White,Warehouse Associate,Warehouse,4,3156,4.0,1.0,97.0
2024-10-13,2,Alexander Martin,Receptionist,Administration,0,0,4.8,1.0,84.8
2024-10-13,10,Ethan Garcia,Administrative Assistant,Administration,3,1827,4.9,1.0,74.3
2024-10-13,7,Benjamin Garcia,Support Specialist,Customer Service,0,0,3.7,1.0,96.9
2024-10-13,12,John Davis,Office Manager,Administration,5,590,3.4,1.0,94.7
2024-10-13,5,Benjamin Garcia,Sales Manager,Sales,18,16110,4.2,1.0,88.2
2024-10-13,4,Isabella Garcia,Shipping Coordinator,Warehouse,5,1715,4.3,1.0,92.8
2024-10-13,3,Mia Wilson,Marketing Coordinator,Marketing,3,2307,3.8,1.0,85.4
2024-10-13,9,Charlotte White,Administrative Assistant,Administration,1,796,3.2,1.0,97.5
2024-10-13,16,Emma Taylor,Customer Service Manager,Customer Service,2,1650,3.9,1.0,91.5
2024-10-13,6,Evelyn Brown,Digital Marketer,Marketing,0,0,3.8,1.0,63.6
2024-10-14,13,Olivia Moore,Customer Service Manager,Customer Service,0,0,4.9,1.0,64.8
2024-10-14,3,Mia Wilson,Marketing Coordinator,Marketing,0,0,4.0,1.0,88.3
2024-10-14,12,John Davis,Office Manager,Administration,0,0,3.2,1.0,60.9
2024-10-14,14,Ethan White,Warehouse Associate,Warehouse,2,1094,4.2,1.0,70.5
2024-10-14,10,Ethan Garcia,Administrative Assistant,Administration,4,1224,3.8,1.0,73.0
2024-10-14,9,Charlotte White,Administrative Assistant,Administration,3,1782,4.1,1.0,84.6
2024-10-14,15,William Thompson,Office Manager,Administration,1,902,3.3,1.0,91.8
2024-10-14,7,Benjamin Garcia,Support Specialist,Customer Service,2,898,4.1,1.0,77.6
2024-10-14,2,Alexander Martin,Receptionist,Administration,5,2765,4.9,1.0,83.0
2024-10-14,1,John Williams,Sales Representative,Sales,12,6264,3.2,1.0,68.3
2024-10-14,6,Evelyn Brown,Digital Marketer,Marketing,2,842,3.1,1.0,88.9
2024-10-14,11,Sophia Brown,Marketing Coordinator,Marketing,0,0,4.1,1.0,82.3
2024-10-14,20,Emma Robinson,Warehouse Associate,Warehouse,3,2565,3.7,1.0,92.7
2024-10-14,17,Isabella White,Administrative Assistant,Administration,2,898,3.7,1.0,70.6
2024-10-15,11,Sophia Brown,Marketing Coordinator,Marketing,3,2997,4.3,1.0,81.8
2024-10-15,2,Alexander Martin,Receptionist,Administration,0,0,4.8,1.0,74.6
2024-10-15,4,Isabella Garcia,Shipping Coordinator,Warehouse,5,2180,4.4,1.0,85.5
2024-10-15,3,Mia Wilson,Marketing Coordinator,Marketing,1,994,4.4,1.0,84.9
2024-10-15,20,Emma Robinson,Warehouse Associate,Warehouse,1,663,3.1,1.0,72.4
2024-10-15,18,Isabella Williams,Sales Associate,Sales,9,5337,4.0,1.0,84.0
2024-10-15,6,Evelyn Brown,Digital Marketer,Marketing,1,817,4.1,1.0,69.3
2024-10-15,5,Benjamin Garcia,Sales Manager,Sales,0,0,3.1,1.0,63.6
2024-10-15,14,Ethan White,Warehouse Associate,Warehouse,0,0,3.6,1.0,78.2
2024-10-15,19,James Miller,Marketing Specialist,Marketing,4,2928,4.2,1.0,80.9
2024-10-15,8,Isabella Miller,Warehouse Manager,Warehouse,1,374,4.8,1.0,79.5
2024-10-15,7,Benjamin Garcia,Support Specialist,Customer Service,1,498,4.0,1.0,81.8
2024-10-15,16,Emma Taylor,Customer Service Manager,Customer Service,0,0,4.4,1.0,98.7
2024-10-15,1,John Williams,Sales Representative,Sales,8,1440,3.6,1.0,60.2
2024-10-15,17,Isabella White,Administrative Assistant,Administration,4,2264,4.6,1.0,71.9
2024-10-15,12,John Davis,Office Manager,Administration,1,114,4.6,1.0,90.9
2024-10-15,13,Olivia Moore,Customer Service Manager,Customer Service,1,547,4.7,1.0,77.4
2024-10-15,10,Ethan Garcia,Administrative Assistant,Administration,3,2754,3.2,1.0,62.5
2024-10-15,9,Charlotte White,Administrative Assistant,Administration,3,2967,4.6,1.0,91.8
2024-10-15,15,William Thompson,Office Manager,Administration,4,3844,3.2,1.0,92.0
2024-10-16,8,Isabella Miller,Warehouse Manager,Warehouse,4,1540,3.0,1.0,86.9
2024-10-16,17,Isabella White,Administrative Assistant,Administration,4,2080,3.1,1.0,93.8
2024-10-16,12,John Davis,Office Manager,Administration,2,534,3.6,1.0,95.3
2024-10-16,2,Alexander Martin,Receptionist,Administration,5,3245,4.6,1.0,83.4
2024-10-16,15,William Thompson,Office Manager,Administration,4,2628,3.9,1.0,99.6
2024-10-16,18,Isabella Williams,Sales Associate,Sales,20,19160,3.9,1.0,75.2
2024-10-16,6,Evelyn Brown,Digital Marketer,Marketing,1,654,3.3,1.0,75.9
2024-10-16,16,Emma Taylor,Customer Service Manager,Customer Service,0,0,3.3,1.0,96.5
2024-10-16,9,Charlotte White,Administrative Assistant,Administration,0,0,4.1,1.0,60.9
2024-10-16,7,Benjamin Garcia,Support Specialist,Customer Service,0,0,3.9,1.0,61.8
2024-10-16,5,Benjamin Garcia,Sales Manager,Sales,7,4249,3.6,1.0,76.7
2024-10-16,19,James Miller,Marketing Specialist,Marketing,2,368,5.0,1.0,97.9
2024-10-16,1,John Williams,Sales Representative,Sales,14,7756,5.0,1.0,89.8
2024-10-16,13,Olivia Moore,Customer Service Manager,Customer Service,0,0,4.1,1.0,64.9
2024-10-16,20,Emma Robinson,Warehouse Associate,Warehouse,0,0,5.0,1.0,68.0
2024-10-17,13,Olivia Moore,Customer Service Manager,Customer Service,4,860,3.8,1.0,91.7
2024-10-17,11,Sophia Brown,Marketing Coordinator,Marketing,0,0,4.0,1.0,70.9
2024-10-17,19,James Miller,Marketing Specialist,Marketing,1,773,4.1,1.0,79.1
2024-10-17,8,Isabella Miller,Warehouse Manager,Warehouse,4,3744,4.9,1.0,91.0
2024-10-17,20,Emma Robinson,Warehouse Associate,Warehouse,4,828,3.7,1.0,71.0
2024-10-17,1,John Williams,Sales Representative,Sales,16,9072,3.6,1.0,77.3
2024-10-17,12,John Davis,Office Manager,Administration,2,638,3.8,1.0,78.3
2024-10-17,6,Evelyn Brown,Digital Marketer,Marketing,0,0,4.5,1.0,94.5
2024-10-17,7,Benjamin Garcia,Support Specialist,Customer Service,4,2244,3.4,1.0,89.4
2024-10-17,4,Isabella Garcia,Shipping Coordinator,Warehouse,2,578,3.6,1.0,65.7
2024-10-18,8,Isabella Miller,Warehouse Manager,Warehouse,3,1710,4.4,1.0,83.4
2024-10-18,1,John Williams,Sales Representative,Sales,14,11718,3.7,1.0,87.8
2024-10-18,11,Sophia Brown,Marketing Coordinator,Marketing,2,1198,4.4,1.0,71.4
2024-10-18,17,Isabella White,Administrative Assistant,Administration,4,2840,3.7,1.0,83.3
2024-10-18,5,Benjamin Garcia,Sales Manager,Sales,3,1395,3.9,1.0,83.7
2024-10-18,4,Isabella Garcia,Shipping Coordinator,Warehouse,5,2885,4.3,1.0,85.9
2024-10-18,18,Isabella Williams,Sales Associate,Sales,7,4424,4.5,1.0,74.6
2024-10-18,6,Evelyn Brown,Digital Marketer,Marketing,1,979,3.8,1.0,87.7
2024-10-18,12,John Davis,Office Manager,Administration,2,578,4.2,1.0,78.2
2024-10-18,14,Ethan White,Warehouse Associate,Warehouse,0,0,3.5,1.0,93.2
2024-10-18,9,Charlotte White,Administrative Assistant,Administration,2,764,4.5,1.0,85.6
2024-10-18,15,William Thompson,Office Manager,Administration,3,675,3.4,1.0,68.2
2024-10-18,13,Olivia Moore,Customer Service Manager,Customer Service,3,423,3.3,1.0,99.4
2024-10-18,10,Ethan Garcia,Administrative Assistant,Administration,3,2364,4.6,1.0,96.2
2024-10-18,16,Emma Taylor,Customer Service Manager,Customer Service,0,0,4.7,1.0,78.9
2024-10-19,16,Emma Taylor,Customer Service Manager,Customer Service,1,257,4.4,1.0,74.1
2024-10-19,19,James Miller,Marketing Specialist,Marketing,3,1248,4.8,1.0,64.8
2024-10-19,4,Isabella Garcia,Shipping Coordinator,Warehouse,4,796,4.3,1.0,72.3
2024-10-19,17,Isabella White,Administrative Assistant,Administration,2,1260,4.4,1.0,62.6
2024-10-19,6,Evelyn Brown,Digital Marketer,Marketing,1,934,4.1,1.0,85.6
2024-10-19,8,Isabella Miller,Warehouse Manager,Warehouse,3,954,4.6,1.0,77.7
2024-10-19,13,Olivia Moore,Customer Service Manager,Customer Service,0,0,4.0,1.0,64.3
2024-10-19,1,John Williams,Sales Representative,Sales,12,5208,3.2,1.0,96.9
2024-10-19,18,Isabella Williams,Sales Associate,Sales,11,1111,4.6,1.0,71.7
